,Абсолютная ошибка,Относительная ошибка,Теоретическая ошибка
3,0.00036750497371884627,0.08306723161291785,0.0011781737214009889
5,3.3750668337884093e-07,7.628671132104514e-05,9.81811434500824e-06
10,1.6930901125533637e-15,3.8268953777100706e-13,5.534200456015648e-12
20,3.842481888227667e-13,8.685170427707907e-11,4.222471584121932e-27
30,2.1217777534943139e-10,4.7958590137472807e-08,2.562057791762425e-44
40,1.6899760320321366e-07,3.819856614525442e-05,6.15009478346672e-63
50,0.0001095450429677014,0.02476049062456116,1.2952861706002198e-82
60,0.09542822144708213,17.829644501486065,3.865504082151066e-103
70,64.11930874459551,100.69427026139091,2.252928866426761e-124
80,65349.043949732455,99.99987014906124,3.227737188363695e-146
90,70500712.27434936,99.99999988068323,1.351555139654445e-168
100,32112540567.27069,99.9999999986233,1.893154096691945e-191
